iter	RMSE
0	14.62253451
1	14.25756897
2	13.89239205
3	13.54564897
4	13.22421349
5	12.92361005
6	12.62990069
7	12.36093955
8	12.08035657
9	11.79153438
10	11.5139603
11	11.24223884
12	10.99920111
13	10.75517457
14	10.51835253
15	10.28465775
16	10.06864055
17	9.889189104
18	9.69806343
19	9.502385328
20	9.317424184
21	9.135611382
22	8.973128709
23	8.835055623
24	8.671944163
25	8.518650283
26	8.379729677
27	8.253010553
28	8.11358077
29	7.996930541
30	7.897727604
31	7.788913538
32	7.68047828
33	7.579595989
34	7.473202675
35	7.373835957
36	7.276877664
37	7.188405284
38	7.104152468
39	7.025278724
40	6.955703824
41	6.884321899
42	6.834491937
43	6.769869814
44	6.698721243
45	6.639024386
46	6.573472155
47	6.51485346
48	6.467697768
49	6.414062156
50	6.362164421
51	6.310384184
52	6.266537434
53	6.223727397
54	6.184713812
55	6.148882735
56	6.1150299
57	6.080276921
58	6.052276175
59	6.018659754
60	5.982698765
61	5.945038445
62	5.915737729
63	5.891289803
64	5.864367463
65	5.842057413
66	5.814504975
67	5.792602228
68	5.772191564
69	5.746825138
70	5.73055951
71	5.705653386
72	5.691289209
73	5.674897731
74	5.652238223
75	5.632473131
76	5.613978504
77	5.599712124
78	5.579590577
79	5.562649348
80	5.544376222
81	5.530225006
82	5.514488513
83	5.502035658
84	5.487950744
85	5.475181855
86	5.464195657
87	5.449666089
88	5.43276852
89	5.418516201
90	5.405697588
91	5.39427491
92	5.379876968
93	5.372258756
94	5.36013611
95	5.346460442
96	5.336401753
97	5.32314347
98	5.311183037
99	5.300202882
100	5.2905494
101	5.278558634
102	5.272137158
103	5.263164552
104	5.253207576
105	5.244290533
106	5.239757052
107	5.229939671
108	5.223294488
109	5.213478567
110	5.207210172
111	5.196534835
112	5.19108302
113	5.186605228
114	5.179786931
115	5.174019652
116	5.163839572
117	5.155818317
118	5.153469635
119	5.148920856
120	5.14248786
121	5.133971382
122	5.129612462
123	5.123938405
124	5.112987011
125	5.104611231
126	5.100011604
127	5.094803553
128	5.092955887
129	5.088275099
130	5.084029356
131	5.077708848
132	5.07356585
133	5.065294158
134	5.059743702
135	5.05436277
136	5.051386036
137	5.047539221
138	5.044138347
139	5.039790783
140	5.034005072
141	5.029606735
142	5.023860401
143	5.018723652
144	5.012903075
145	5.005964539
146	4.999713665
147	4.996099479
148	4.991530266
149	4.988706191
150	4.980707192
151	4.975984903
152	4.970425411
153	4.967467924
154	4.9605796
155	4.957555981
156	4.953015951
157	4.948344795
158	4.944524728
159	4.941569394
160	4.935590073
161	4.929455852
162	4.926814926
163	4.923368145
164	4.919588221
165	4.912876762
166	4.907517008
167	4.904880702
168	4.900492287
169	4.894244822
170	4.890660937
171	4.887430134
172	4.886824351
173	4.882789574
174	4.879997454
175	4.875152471
176	4.87050419
177	4.866388389
178	4.85978379
179	4.854925618
180	4.85010674
181	4.846686508
182	4.841701904
183	4.838929867
184	4.836009143
185	4.83159382
186	4.825901198
187	4.824610711
188	4.822401192
189	4.818312658
190	4.815128387
191	4.81252329
192	4.807346899
193	4.802479632
194	4.797196477
195	4.792376541
196	4.790232579
197	4.785946699
198	4.782320679
199	4.781082163
200	4.777043847
201	4.773093225
202	4.77059154
203	4.765329515
204	4.758834213
205	4.755485308
206	4.752589082
207	4.750708365
208	4.747343185
209	4.742655825
210	4.741563867
211	4.737078735
212	4.734944346
213	4.730072856
214	4.727705889
215	4.723532152
216	4.720898476
217	4.720370112
218	4.716740942
219	4.712796472
220	4.709589777
221	4.705741307
222	4.703796834
223	4.700489342
224	4.699392279
225	4.695135791
226	4.690852507
227	4.687892859
228	4.684302401
229	4.67945682
230	4.675483267
231	4.672023728
232	4.67129179
233	4.669300149
234	4.668832317
235	4.666028428
236	4.663179534
237	4.662556844
238	4.661804768
239	4.661424161
240	4.660273301
241	4.659372282
242	4.656453401
243	4.655395445
244	4.651866003
245	4.649627353
246	4.643517321
247	4.638571332
248	4.636705167
249	4.633320858
250	4.626870825
251	4.623185992
252	4.619504679
253	4.612963479
254	4.608783396
255	4.602018446
256	4.598893348
257	4.598322927
258	4.595502758
